SPY,標普500指數ETF-SPDR
QQQ,納指100ETF-Invesco QQQ Trust
IWM,羅素2000ETF-iShares
TQQQ,三倍做多納指ETF-ProShares
TLT,20+年以上美國國債ETF-iShares
IVV,標普500ETF-iShares
VOO,標普500ETF-Vanguard
LQD,債券指數ETF-iShares iBoxx投資級公司債
SOXL,三倍做多半導體ETF-Direxion
SQQQ,三倍做空納指ETF-ProShares
GLD,黃金ETF-SPDR
TSLL,2倍做多TSLA ETF-Direxion
IBIT,比特幣ETF-iShares
SMH,半導體指數ETF-VanEck
HYG,債券指數ETF-iShares iBoxx高收益公司債
SOXX,半導體ETF-iShares
FXI,中國大盤股ETF-iShares
XLI,工業指數ETF-SPDR
XLF,金融行業ETF-SPDR
EEM,新興市場ETF-iShares
SOXS,三倍做空半導體ETF-Direxion
BIL,1-3月美國國債ETF-SPDR
EFA,歐澳遠東指數ETF-iShares
XLK,科技行業精選指數ETF-SPDR
XLV,醫療保健精選行業指數ETF-SPDR
AGG,美國全債市ETF-iShares
RSP,平均加權指數ETF-Rydex S&P
XLP,日常消費品精選行業指數ETF-SPDR
SGOV,0-3月美國國債ETF-iShares
NVDL,2倍做多NVDA ETF-GraniteShares
XLE,能源指數ETF-SPDR
DIA,道瓊斯指數ETF-SPDR
XBI,標普生物科技ETF-SPDR
IEFA,iShares安碩核心MSCI EAFE ETF
XLY,非必需消費類ETF-SPDR
ACWI,iShares MSCI ACWI ETF
IEF,美國國債7-10年ETF-iShares
VTI,整體股市指數ETF-Vanguard
XLC,通訊服務行業精選指數ETF-SPDR
SPLG,投資組合標普500指數ETF-SPDR
GDX,黃金礦業ETF-VanEck
XLU,公用事業精選行業指數ETF-SPDR
IEMG,核心MSCI新興市場ETF-iShares
KWEB,中國海外互聯網ETF-KraneShares
VEA,富時成熟市場ETF-Vanguard
EMB,新興市場美元債ETF-iShares
SPXL,三倍做多標普500ETF-Direxion
IWF,羅素1000成長指數ETF-iShares
MUB,美國市政債ETF-iShares
IWD,羅素1000價值指數ETF-iShares
EWZ,巴西ETF-iShares
VCIT,中期公司債券ETF-Vanguard
BITX,2倍比特幣期貨ETF-Volatility Shares
USO,美國原油ETF
RWM,羅素2000做空-ProShares
INDA,MSCI印度ETF-iShares
SHV,美國短期國債ETF-iShares
